video,caption
B0998.16,A small animal is seen walking on a rock in the video.
B0858.6,A crocodile is seen swimming in the water and then climbing up a rock.
B0587.2,A dog is seen walking on a rock in the video.
B0072.11,A cat is seen climbing up a tree in the video.
B0922.22,A mountain goat is seen climbing up a steep cliff in the video.
B0766.13,A baboon is seen sitting on the ground in the wild.
B0126.5,A deer is seen walking through the woods in the video.
B1049.63,A black bear is seen walking through the woods in the video.
B0816.16,A dog is seen running through the grass in the video.
B1019.15,A group of elephants are seen walking in a line in the video.
B0761.3,A squirrel is seen running across the ground in the video.
B0690.22,A baboon is seen walking through the grass with a baby baboon following behind.
B0815.12,A group of birds are seen flying in the air.
B0666.65,A bird is seen flying over a field of trees.
B1000.19,A black bear is seen walking through the woods in the video.
B0799.49,A gorilla is seen walking through the grass in the video.
B1052.9,A squirrel is seen climbing up a tree in the video.
B0746.24,A bird is seen perched on a branch in the video.
B0663.19,A lion is seen walking through a field of trees and bushes.
B0670.22,A bear is seen walking through the woods in the video.
B0745.3,A group of elephants are seen walking through a forest in the video.
B1016.40,A black bear is seen walking through the woods in the video.
B0772.14,A monkey is seen eating a banana in the video.
B0046.3,A giraffe is seen walking through a field of trees.
B0993.12,A black bear is seen walking through the woods in the video.
B0672.17,A deer is seen walking through the woods in the video.
B0940.19,A bird is seen flying over a rocky area in the video.
B0777.37,A wild boar is seen walking through the grass in the video.
B0610.9,A cat is seen walking on a stone wall in the video.
B0838.9,A dog is seen walking on a rock in the video.
B0483.14,A small animal is seen walking on the ground in the video.
B0665.17,A gorilla is seen sitting on a tree branch in the wild.
B0746.25,A bird is seen perched on a branch in the video.
B0759.34,A group of birds are seen flying in the sky.
B0660.43,A giraffe is seen walking through a forest with trees and bushes.
B0983.4,A small bird is seen perched on a rock in the video.
B0782.4,A bird is seen perched on a branch in the video.
B0070.5,A deer is seen walking through the woods in the video.
B0220.9,A group of animals are seen walking in a desert.
B0723.12,A lion is seen walking through the trees in the video.
B0018.5,A dog is seen walking on the rocks in the video.
B0144.5,A deer is seen walking through the woods in the video.
B0687.61,A deer is seen walking through a forest in the video.
B0840.23,A dog is seen walking through a rocky area in the video.
B0813.33,A gorilla is seen walking through the forest and looking at the camera.
B0294.12,A group of birds are seen standing on the ground in the video.
B0753.36,A group of elephants are seen walking through a forest.
B0663.44,A lion is seen walking through a field of grass and trees.
B0839.16,A group of ducks swim in a pond with rocks and trees in the background.
B0999.8,A herd of elephants are seen walking across a rocky terrain.
B0515.4,A small animal is seen walking across a dirt field.
B0773.18,A gorilla is seen sitting on a branch in the forest.
B0811.35,A bird is seen flying over a forest in the video.
B1026.13,A group of deer are seen grazing in a forest.
B0122.1,A monkey is seen walking through the forest in the video.
B0649.26,A zebra is seen walking through a field of trees.
B0993.16,"A large rock is shown in the video, and a small bird is seen flying in the air."
B0691.44,A deer is seen walking through the woods in the video.
B0692.9,A lion is seen walking through the grass in the video.
B0715.27,A squirrel is seen running across the ground in the video.
B1019.20,A herd of elephants are seen walking in a line.
B0994.44,A group of birds are seen sitting on a rock in the video.
B0283.6,A dog is seen walking on the ground in the video.
B0854.19,A dog is seen walking in the desert with a rock in its mouth.
B0789.36,A group of birds are seen flying in the sky.
B0761.35,A gorilla is seen walking through the jungle in the video.
B1016.60,A dog is seen walking on a rock in the video.
B1017.54,A group of birds are seen flying over a rocky cliff.
B0041.5,A gorilla is seen sitting in the grass and looking at the camera.
B0559.11,A black bear is seen walking through the woods in the video.
B0660.42,A giraffe is seen walking through a forest with trees and bushes.
B0198.8,A bear is seen walking through the woods in the video.
B0409.12,A small animal is seen walking through the grass in the video.
B0178.3,A group of elephants are seen walking through a rocky terrain.
B0727.9,A small animal is seen walking through the grass in the video.
B0375.12,A dog is seen running through the grass in the video.
B1026.35,A dog is seen walking on a rock in the video.
B0770.40,A lion is seen walking through the grass in the video.
B0282.1,A small animal is seen walking through the grass in the video.
B0694.22,A squirrel is seen climbing up a tree in the video.
B1005.42,A cow is seen grazing on the grass in the video.
B0671.56,A deer is seen walking through the woods in the video.
B0313.9,A group of camels are seen walking in the desert.
B0648.57,A gorilla is seen walking through the forest in the video.
B0082.7,A bear is seen walking through the woods in the video.
B0700.7,A lion is seen walking through the grass in the video.
B0641.43,A bear is seen walking through the woods and looking at the camera.
B1011.50,A monkey is seen climbing up a rock face in the video.
B0750.35,A small animal is seen walking through the woods in the video.
B0791.4,A bear is seen walking through the woods in the video.
B0843.7,A small lizard is seen on a rock in the video.
B0677.52,A lion is seen walking through the trees in the video.
B0383.4,A bear is seen walking through the woods in the video.
B0468.13,A bird is seen flying over a rocky terrain in the video.
B0657.30,A black bear is seen walking through the woods in the video.
B0127.5,A baboon is seen walking through the grass in the video.
B0178.1,A deer is seen walking through the woods in the video.
B0698.20,A group of deer are seen grazing in a field.
B0546.5,A bird is seen flying over a forest in the video.
B0680.42,A deer is seen walking through the woods and looking at the camera.
B0122.7,A bear is seen walking through the woods and looking at the camera.
B0300.7,A snake is seen moving through the grass in the video.
B1043.9,A deer is seen walking on a rock in the video.
B1054.11,A large white bear is seen walking through the woods in the video.
B0267.16,A group of birds are seen walking through the desert.
B0048.9,A squirrel is seen running across the ground in the video.
B0477.7,A dog is seen walking through a field of grass.
B1020.50,A group of deer are seen grazing in a field.
B0793.31,A bird is seen perched on a branch in the video.
B0520.5,A cow is seen grazing in a field with a fence in the background.
B0249.18,A bird is seen flying over a field of dry grass.
B1021.4,A group of elephants are seen walking in a line.
B0706.16,A gorilla is seen standing on a rock in the wild.
B0136.3,A squirrel is seen running through the woods in the video.
B0708.21,A bird is seen perched on a tree branch in the video.
B0117.4,A baboon is seen sitting on a branch in the wild.
B0680.22,A deer is seen walking through the woods in the video.
B0041.10,A baboon is seen standing in the grass and looking around.
B0499.1,A wolf is seen walking through the woods in the video.
B0832.9,A group of ducks are swimming in a river.
B0194.13,A dog is seen walking on the beach and looking at the camera.
B0787.22,A group of elephants are seen walking through a forest.
B0913.21,A bear is seen walking through a forest and climbing up a hill.
B0524.6,A dog is seen walking through the grass in the video.
B0257.19,Two camels are seen walking in the desert.
B0225.13,A herd of cattle is seen walking through a field.
B1049.17,A dog is seen walking through a rocky area in the video.
B0674.22,A small bird is seen perched on a branch in the video.
B1024.9,A small animal is seen walking on a rock in the video.
B0274.13,A group of birds are seen walking in the desert.
B0685.52,A bird is seen flying over a forest in the video.
B0668.25,A lion is seen walking through the grass in the video.
B0806.28,A small animal is seen walking through the grass in the video.
B0801.53,A squirrel is seen running across the ground in the video.
B0072.12,A monkey is seen climbing up a tree in the video.
B0975.15,A group of animals are seen walking on a log in the woods.
B0678.57,A bear is seen walking through the woods in the video.
B1052.23,A large bear is seen walking through the woods in the video.
B0802.11,A deer is seen walking through the woods in the video.
B0664.1,A lion is seen walking through the grass in the video.
B0647.54,A baboon is seen eating leaves from a tree in the video.
B0803.14,The video shows a group of birds flying in the air.
B0934.8,A group of animals are seen walking around a small house in the wilderness.
B0912.23,A small animal is seen walking on the ground in the video.
B1050.3,A bear is seen walking on a rock and then turns around and walks back.
B0754.18,A lion is seen walking through a field of trees and bushes.
B0745.32,A deer is seen walking through the woods in the video.
B0649.37,A lion is seen walking through the trees in the video.
B0750.8,A deer is seen walking through the woods in the video.
B0829.32,A group of sheep are seen grazing on the ground in the video.
B0631.1,A dog is seen running through the woods in the video.
B0212.20,A bird is seen walking on the ground in the video.
B0776.61,A deer is seen walking through the woods in the video.
B0273.2,A small animal is seen running across the desert in the video.
B1026.49,A dog is seen walking on a rock in the video.
B0050.8,A lion is seen walking through the grass in the video.
B0948.15,A group of people are seen walking on a dirt road with a dog.
B0201.6,A small animal is seen walking through the grass in the video.
B0963.20,A bird is seen walking on the ground in the video.
B0278.6,A group of animals are seen walking through a field.
B0657.45,A black bear is seen walking through the woods in the video.
B0735.17,A deer is seen walking through the woods in the video.
B0660.41,A giraffe is seen eating leaves from a tree in the video.
B0844.26,A dog is seen walking on the beach and looking at the water.
B0202.7,A black bear is seen walking through the woods in the video.
B1020.14,A group of wolves are seen walking through a rocky terrain.
B0842.30,A cow is seen walking through a field of grass.
B1056.27,A dog is seen running through the woods in the video.
B1031.30,A group of elephants are seen walking in a line.
B0635.46,A baboon is seen sitting on a tree branch in the video.
B0797.44,A small animal is seen walking through the grass in the video.
B0650.52,A bear is seen walking through the woods in the video.
B0735.37,A cat is seen walking through the woods in the video.
B0567.2,A dog is seen walking on the beach in the video.
B0646.26,A gorilla is seen sitting on the ground in the video.
B1001.38,A group of wolves are seen walking through a rocky terrain.
B0254.5,A cow is seen walking through a field of grass.
B0776.30,A gorilla is seen walking through the jungle in the video.
B0719.13,A small animal is seen walking through the grass in the video.
B0720.33,A small animal is seen walking through the grass in the video.
B0772.52,A dog is seen running through the woods in the video.
B0680.47,A lion is seen walking through the grass in the video.
B0996.34,A gorilla is seen walking on the ground in the video.
B1036.50,A deer is seen walking through the woods in the video.
B0697.52,A group of deer are seen grazing in a forest.
B0755.17,A gorilla is seen walking through the woods in the video.
B0788.2,A deer is seen walking through the woods in the video.
B0463.11,A small bird is seen flying over a hillside in the video.
B1006.23,A group of animals are seen walking on a rocky terrain.
B0953.20,A group of deer are seen walking through a forest.
B0761.31,A monkey is seen climbing up a tree in the video.
B1006.4,A group of gorillas are seen standing on a rocky hillside.
B0666.21,A bird is seen flying over a field of grass.
B0413.6,A wolf is seen walking through the woods in the video.
B0687.64,A gorilla is seen walking through the forest in the video.
B1036.18,A deer is seen walking through the woods in the video.
B0652.59,A bird is seen perched on a branch in the video.
B0611.2,A bird is seen flying over a rocky cliff in the video.
B0694.14,A deer is seen walking through the woods in the video.
B0067.3,A black bear is seen walking through the woods in the video.
B0925.15,A deer is seen walking through the grass in the video.
B0573.6,A dog is seen walking on a rock in the video.
B0130.2,A bear is seen walking through the grass in the video.
B0716.24,A bear is seen walking through the woods in the video.
B1058.21,"A large rock is shown in the video, and a small bird is seen flying over it."
B0466.10,A large animal is seen walking across the desert in the video.
B0754.35,A lion is seen walking through the grass in the video.
B0058.9,A snake is seen moving through the grass in the video.
B0993.3,A monkey is seen climbing up a rock while a baby monkey watches.
B1030.23,A dog is seen walking in the woods and looking at the camera.
B0863.15,A crocodile is seen swimming in the water and then jumps out of the water.
B0636.10,A bird is seen perched on a tree branch in the video.
B0670.63,A gorilla is seen walking through the woods in the video.
B0753.27,A zebra is seen running through a field of trees.
B0080.2,A deer is seen walking through the woods in the video.
B0207.4,A bird is seen walking on the ground in the video.
B1050.38,A dog is seen running through the woods in the video.
B0734.39,A kangaroo is seen walking through the trees in the video.
B0860.19,A bird is seen flying over a river in the video.
B0777.5,A deer is seen walking through the woods in the video.
B0797.4,A deer is seen grazing on the ground in the woods.
B0750.13,A deer is seen walking through the woods in the video.
B1053.58,A dog is seen running through the woods in the video.
B0677.55,A gorilla is seen walking through the trees in the video.
B0667.13,A group of deer are seen grazing in a forest.
B1048.26,A dog is seen walking on a rock in the video.
B0997.50,A group of birds are seen flying in the sky.
B0242.9,A small animal is seen running across the desert in the video.
B0776.44,A dog is seen walking through the woods in the video.
B0799.3,A gorilla is seen walking through the forest in the video.
B0927.15,A deer is seen walking through the woods in the video.
B0993.33,A dog is seen running through the woods in the video.
B0708.33,A bird is seen perched on a tree branch in the video.
B0782.24,A bird is seen perched on a tree branch in the video.
B0641.11,A lion is seen walking through the grass in the video.
B0745.34,A deer is seen walking through the woods in the video.
B1017.62,A bird is seen flying over a rocky cliff in the video.
B0658.48,A deer is seen walking through the woods in the video.
B0832.15,A bird is seen flying over a river in the video.
B0683.26,A deer is seen walking through the woods in the video.
B0059.6,A deer is seen walking through the woods in the video.
B0233.6,A group of animals are seen walking in the desert.
B0802.61,A bear is seen walking through the woods in the video.
B0778.25,A monkey is seen sitting on a tree branch in the video.
B0040.5,A baboon is seen sitting on the ground in the wild.
B0805.13,A deer is seen walking through the woods in the video.
B1041.10,A dog is seen walking on a rock in the video.
B0642.22,A bear is seen walking through the woods and climbing up a tree.
B0645.9,A monkey is seen walking on a tree branch in the video.
B0671.34,A deer is seen walking through the woods in the video.
B0309.10,A bird is seen flying over a field of grass and bushes.
B1029.16,A squirrel is seen standing on a rock in the woods.
B0108.2,A deer is seen walking through the woods in the video.
B1054.49,A dog is seen walking in the dark and then turns around and walks back.
B1000.8,A group of monkeys are seen climbing up a rock face.
B0736.10,A deer is seen walking through the woods in the video.
B0810.48,A bird is seen perched on a branch in the video.
B0698.11,A deer is seen walking through the woods in the video.
B0968.17,A bird is seen perched on a rock in the video.
B0714.6,A deer is seen walking through the woods in the video.
B0190.4,A bird is seen flying over a river in the video.
B1024.55,A lizard is seen climbing up a rock in the video.
B0645.21,A monkey is seen walking on a dirt path in the video.
B0572.6,A dog is seen walking on a rock in the video.
B0693.13,A giraffe is seen eating leaves from a tree in the video.
B0879.20,A bird is seen flying over a rocky area in the video.
B0730.2,A lion is seen walking through the grass in the video.
B0820.39,A small animal is seen walking on the ground in the video.
B0894.29,A wolf is seen walking on a rocky terrain and then jumps into a body of water.
B0640.55,A bear is seen walking through the woods in the video.
B0027.5,A black bear is seen walking through the woods in the video.
B0277.10,A herd of cattle is seen grazing in a field.
B1011.38,A dog is seen walking on a rock in the video.
B0555.9,A small animal is seen walking across a field in the video.
B0682.14,A dog is seen walking through the woods in the video.
B0772.46,A gorilla is seen walking through the jungle in the video.
B0993.54,A group of birds are seen flying over a rocky terrain.
B0790.13,A deer is seen walking through the woods in the video.
B0655.63,A deer is seen running through the woods in the video.
B0468.10,A bird is seen flying over a rocky terrain in the video.
B0262.5,A group of animals are seen walking through a desert.
B0565.1,A small animal is seen walking on a rock in the video.
B0207.5,A small lizard is seen walking on the ground in the video.
B1017.39,A dog is seen running through the woods in the video.
B0748.25,A deer is seen walking through the woods in the video.
B1048.22,A dog is seen walking on a rock in the video.
B0665.49,A large animal is seen walking through a forest in the video.
B0654.64,A lion is seen walking through the woods in the video.
B0798.48,A small animal is seen walking through the grass in the video.
B0789.39,A monkey is seen climbing up a tree in the video.
B0850.6,A dog is seen walking on a rock in the video.
B0471.2,A deer is seen walking through the woods in the video.
B0687.17,A deer is seen walking through the woods in the video.
B1018.16,A group of birds are seen flying over a rocky cliff.
B1037.15,A dog is seen running through the woods in the video.
B0747.3,A deer is seen walking through the woods in the video.
B0802.21,A deer is seen walking through the woods in the video.
B0648.45,A monkey is seen walking through the grass in the video.
B0459.3,A small animal is seen walking across the dirt in the video.
B0979.5,A group of animals are seen walking through a rocky terrain.
B1023.28,A group of animals are seen walking in a line.
B0799.15,A gorilla is seen walking through the forest and climbing up a tree.
B0738.16,A deer is seen walking through the woods in the video.
B0947.19,A group of elephants are seen walking in a line.
B0480.7,A dog is seen walking through a field of dry grass.
B0726.6,A deer is seen walking through the woods in the video.
B0912.17,A small animal is seen walking on the ground in the video.
B0015.13,A cow is seen walking through a field of grass.
B0678.54,A bear is seen walking through the woods in the video.
B0478.7,A giraffe is seen walking through a field of trees.
B0912.4,A dog is seen walking on the beach and looking at something in the distance.
B0453.4,A horse is seen running in the dirt in the video.
B0961.22,A small animal is seen walking on the ground in the video.
B0931.18,A bird is seen flying over a rocky area in the video.
B1053.54,A dog is seen running through the woods in the video.
B1029.19,A deer is seen walking through the woods in the video.
B0772.50,A group of elephants are seen walking through a forest.
B0784.46,A bird is seen perched on a tree branch in the video.
B0918.11,A lizard is seen walking on a rock in the video.
B0929.2,A squirrel is seen running across a rock in the video.
B0564.4,A dog is seen running through the woods in the video.
B0077.8,A bear is seen walking on a hillside in the video.
B0641.25,A dog is seen walking on a dirt road with a green plant in the background.
B0243.1,A small animal is seen walking across a dirt field.
B0784.64,A baboon is seen sitting on a tree branch in the video.
B0119.2,A deer is seen walking through the woods in the video.
B1050.54,A dog is seen walking on a rock in the video.
B0674.7,A deer is seen walking through the grass in the video.
B1021.58,A group of deer are seen grazing in a forest.
B0804.5,A bear is seen walking through the woods in the video.
B0647.63,A monkey is seen eating leaves from a tree in the video.
B0880.17,A deer is seen walking through the woods in the video.
B0741.38,A lion is seen walking through the grass and trees.
B0855.2,A deer is seen walking through the woods in the video.
B0641.21,A dog is seen walking on a dirt road with a green field in the background.
B0444.8,A group of deer are seen grazing in a field.
B0052.9,A bird is seen perched on a tree branch in the video.
B0654.16,A bear is seen walking through the woods in the video.
B0911.8,A small animal is seen walking on the ground in the video.
B0811.37,A bird is seen perched on a branch in the video.
B0837.19,A small animal is seen walking on a rock in the video.
B0378.2,A small animal is seen walking on the ground in the video.
B0093.2,A deer is seen walking through the woods in the video.
B0583.9,A dog is seen walking on a rocky hillside in the video.
B0651.40,A bird is seen perched on a branch in the video.
B1014.14,A group of wolves are seen walking through a forest.
B0307.1,A group of animals are seen walking in the desert.
B0689.33,A baboon is seen walking through the forest and climbing up a tree.
B1025.61,A dog is seen running through the woods in the video.
B0704.1,A baboon is seen sitting on a tree branch in the video.
B0639.18,A baboon is seen standing on a branch in the wild.
B0686.33,A small animal is seen walking through the grass in the video.
B0647.12,A baboon is seen sitting on the ground in the wild.
B0921.13,A mountain goat is seen walking on a rocky cliff.
B0785.48,A black bear is seen walking through the woods in the video.
B0204.8,A black dog is seen walking across a desert landscape.
B0060.4,A deer is seen walking through the woods in the video.
B1036.8,A dog is seen running through the woods in the video.
B0787.1,A group of elephants are seen walking through a forest.
B0612.8,A small bird is seen perched on a rock in the video.
B0672.35,A baboon is seen climbing a tree in the video.
B0648.33,A gorilla is seen walking through the forest in the video.
B0728.9,A bear is seen walking through the woods in the video.
B0699.20,A group of elephants are seen walking through a forest.
B0225.2,A group of birds are seen walking in the desert.
B0771.27,A gorilla is seen standing in a grassy area with trees in the background.
B1032.45,"A large rock is shown in the video, and a small bird is seen flying in the air."
B0816.15,A deer is seen walking through the woods in the video.
B0715.20,A squirrel is seen running across the ground in the video.
B1036.51,A deer is seen walking through the woods in the video.
B0575.5,A deer is seen walking through the woods in the video.
B0884.20,A dog is seen swimming in the water.
B0301.6,A herd of cattle is seen grazing in a field.
B0784.54,A bird is seen perched on a tree branch and then takes off.
B0756.25,A deer is seen walking through the woods in the video.
B0868.5,A small lizard is seen climbing up a rock in the video.
B0765.28,A gorilla is seen walking on a tree branch in the video.
B0814.34,A monkey is seen eating a banana in the video.
B0713.29,A bird is seen perched on a branch in the video.
B0662.32,A bear is seen walking through the woods and sniffing the ground.
B1029.30,A group of deer are seen grazing in the woods.
B0966.22,A dog is seen walking on a rocky terrain in the video.
B0213.4,A cow is seen grazing in a field with a few other cows.
B0740.35,A gorilla is seen walking through the woods in the video.
B0239.16,A group of camels are seen walking through a desert.
B0766.29,A baboon is seen eating a banana in the wild.
B0369.4,A small green lizard is seen climbing up a rock in the video.
B0506.4,A baboon is seen walking on the ground in the video.
B0762.32,A monkey is seen climbing up a tree in the video.
B0277.12,A group of animals are seen walking through a field.
B0410.6,A small animal is seen walking on the ground in the video.
B0839.20,A bird is seen flying over a forest in the video.
B0051.13,A lion is seen walking through the trees in the video.
B0735.20,A wolf is seen walking through the woods in the video.
B0920.17,A mountain goat is seen walking on a rocky cliff in the video.
B0736.3,A deer is seen walking through the woods in the video.
B0984.18,A dog is seen walking on a rock in the video.
B0330.2,A dog is seen running across a field in the video.
B0252.1,A small animal is seen walking through the brush in the video.
B0813.8,A monkey is seen climbing up a tree in the video.
B0811.46,A black bird is seen perched on a tree branch in the video.
B1026.36,A dog is seen running through the woods in the video.
B0799.25,A gorilla is seen walking through the forest and climbing up a tree.
B0509.1,A bird is seen flying over a field of dry grass.
B0642.8,A monkey is seen sitting on a branch in the woods.
B1015.5,A dog is seen running through the woods in the video.
B0457.1,A small animal is seen walking on the ground in the video.
B0686.20,A deer is seen walking through the woods in the video.
B0647.52,A baboon is seen sitting on the ground in the wild.
B0343.3,A herd of elephants are seen walking through a field.
B0999.4,A group of elephants are seen walking through a rocky terrain.
B0828.17,A bear is seen walking on a rock and then climbing up the side of a mountain.
B0724.33,A gorilla is seen walking through the forest in the video.
B1008.17,A group of animals are seen walking on a rocky terrain.
B0552.2,A group of birds are seen flying over a forest.
B1062.8,A dog is seen walking on the ground in the video.
B0483.1,A bear is seen walking through the woods in the video.
B0755.25,A group of elephants are seen walking through a forest.
B1016.27,A group of monkeys are seen climbing up a rocky cliff.
B1052.39,A dog is seen walking on a rock in the video.
B1065.14,A dog is seen walking on a rock in the video.
B0792.26,A deer is seen walking through the woods in the video.
B0710.5,A gorilla is seen walking through the jungle in the video.
B0779.21,A lion is seen walking through the grass in the video.
B0397.11,A deer is seen walking through the woods in the video.
B0712.24,A monkey is seen climbing up a tree in the video.
B0816.55,A deer is seen walking through the woods in the video.
B0704.3,A baboon is seen sitting on a tree branch in the video.
B0803.63,A deer is seen walking through the woods in the video.
B0779.9,A lion is seen walking through the grass in the video.
B0114.5,A gorilla is seen walking through the woods in the video.
B0968.22,A dog is seen running through the woods in the video.
B0635.16,A baboon is seen standing on a tree branch in the video.
B0928.23,A small bird is seen perched on a rock in the video.
B0843.21,A cow is seen walking through a river in the video.
B0761.28,A bear is seen walking through the woods in the video.
B0020.10,A group of elephants are seen walking through a river.
B0635.18,A baboon is seen standing on a tree branch in the video.
B0935.2,A small animal is seen walking on the ground in the video.
B0750.36,A squirrel is seen running across the ground in the video.
B0465.4,A horse is seen running in the desert with a dog following behind.
B0565.5,A group of monkeys are seen climbing up a rock face.
B0656.14,A black bear is seen walking through the woods in the video.
B0723.13,A lion is seen walking through the grass in the video.
B0278.9,A group of camels are seen walking in the desert.
B1035.15,A large bear is seen walking through the woods in the video.
B0787.45,A group of deer are seen grazing in the woods.
B1035.28,A large bear is seen walking through the woods in the video.
B0915.8,A baboon is seen walking on the ground in the video.
B0913.26,A small animal is seen walking on the ground in the video.
B1038.47,A group of elephants are seen walking through a rocky terrain.
B0705.22,A bird is seen perched on a tree branch in the video.
B0701.35,A group of deer are seen grazing in a field.
B0811.23,A bird is seen flying over a forest in the video.
B0788.61,A bird is seen flying over a forest in the video.
B0993.56,A dog is seen running through the woods in the video.
B0725.28,A lion is seen walking through a field of trees and bushes.
B0687.16,A deer is seen walking through the woods in the video.
B0806.19,A small animal is seen walking through the grass in the video.
B0728.18,A bear is seen walking through the woods and looking at the camera.
B0641.23,A dog is seen running through a field of grass.
B0555.2,A small animal is seen walking on the ground in the video.
B0230.9,A group of birds are seen flying over a desert landscape.
B1038.22,A dog is seen running through the woods in the video.
B0791.49,A lizard is seen walking on a rock in the video.
B0681.9,A bear is seen walking through the woods in the video.
B1052.11,A small animal is seen walking on the rocks in the video.
B1035.47,A large bear is seen walking through the woods in the video.
B0721.30,A bear is seen walking through the woods in the video.
B0983.35,A lizard is seen crawling on a rock in the video.
B0686.54,A deer is seen walking through the woods in the video.
B0918.25,A bird is seen walking on the ground in the video.
B0706.25,A gorilla is seen standing on a rock and looking at the camera.
B0048.5,A monkey is seen walking through the trees in the video.
B0685.41,A lizard is seen crawling on a tree branch in the video.
B0148.6,A dog is seen walking through a rocky area in the video.
B0775.5,A group of animals are seen walking through a forest.
B0651.14,A baboon is seen sitting on a tree branch in the video.
B0782.33,A baboon is seen sitting on a tree branch in the video.
B0715.14,A monkey is seen walking through the trees in the video.
B0771.33,A gorilla is seen walking through the grass in the video.
B0351.1,A group of animals are seen walking in the desert.
B0566.4,A gorilla is seen walking through a forest in the video.
B0613.6,A lizard is seen walking on a rock in the video.
B0795.8,A monkey is seen hanging from a tree branch in the video.
B0153.3,A group of birds are seen flying over a rocky area.
B0419.9,A bird is seen flying over a forest in the video.
B0759.10,A deer is seen walking through the woods in the video.
B0937.1,A small animal is seen walking on the ground in the video.
B0779.54,A lion is seen walking through a field of trees and bushes.
B0860.15,A crocodile is seen swimming in the water.
B0650.49,A deer is seen walking through the grass in the video.
B0642.44,A bear is seen walking through the grass in the video.
B0275.11,A group of birds are seen walking in the desert.
